Franz Kline , American , 1910 - 1962 , 37 artworks
Hedda Sterne , Romanian , 1910 - 2011 , 40 artworks
Raoul Ubac , French , 1910 - 1985 , 42 artworks
Richard Mortensen , 1910 - 1993 , 12 artworks
Aurelie Nemours , French , 1910 - 2005 , 22 artworks
Leon Berkowitz , American , 1911 - 1987 , 31 artworks
Hiroyuki Tajima , Japanese , 1911 - 1984 , 32 artworks
Raul Lozza , Argentinean , 1911 - 2008 , 15 artworks
Alfred Manessier , French , 1911 - 1993 , 48 artworks
Olle Baertling , Swedish , 1911 - 1981 , 17 artworks
Lothar Charoux , Austrian , 1912 - 1987 , 27 artworks
Jackson Pollock , American , 1912 - 1956 , 86 artworks
Giulio Turcato , Italian , 1912 - 1995 , 37 artworks
Afro , Italian , 1912 - 1976 , 33 artworks
Agnes Martin , Canadian , 1912 - 2004 , 57 artworks
Verena Loewensberg , Swiss , 1912 - 1986 , 28 artworks
Emil Schumacher , German , 1912 - 1999 , 25 artworks
Vasile Dobrian , Romanian , 1912 - 1999 , 70 artworks
Alexander Liberman , American , 1912 - 1999 , 16 artworks
John Cage , American , 1912 - 1992 , 35 artworks
Morris Louis , American , 1912 - 1962 , 111 artworks
Mario Ballocco , Italian , 1913 - 2008 , 31 artworks
Jean-Michel Atlan , French , 1913 - 1960 , 18 artworks
William Scott , British , 1913 - 1989 , 41 artworks
Carmelo Arden Quin , French , 1913 - 2010 , 15 artworks
Toko Shinoda , Japanese , born 1913 , 26 artworks
Conrad Marca-Relli , American , 1913 - 2000 , 61 artworks
Philip Guston , American , 1913 - 1980 , 73 artworks
Ad Reinhardt , American , 1913 - 1967 , 52 artworks
Jose Guerrero , American , 1914 - 1991 , 31 artworks
Karl Otto Gotz , German , born 1914 , 14 artworks
Aurel Cojan , French , 1914 - 2005 , 50 artworks
Peter Busa , American , 1914 - 1985 , 16 artworks
Johannes Jan Schoonhoven , Dutch , 1914 - 1994 , 24 artworks
Nassos Daphnis , American , 1914 - 2010 , 25 artworks
Alexandre Istrati , French , 1915 - 1991 , 44 artworks
Natalia Dumitresco , French , 1915 - 1997 , 15 artworks
Tihamer Gyarmathy , Hungarian , 1915 - 2005 , 34 artworks
Robert Motherwell , American , 1915 - 1991 , 0 artworks
